GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
resiliency-studio-security,com.att.tta.rs,SwaggerConfig,0,13,0,0,0,4,0,2,0,2
resiliency-studio-security,com.att.tta.rs,Application,14,3,0,0,3,1,2,1,2,1
resiliency-studio-security,com.att.tta.rs,AuthenticationTokenFilter,132,7,14,0,36,2,11,2,4,2
resiliency-studio-security,com.att.tta.rs,JerseyConfiguration,0,26,0,0,0,8,0,2,0,2
resiliency-studio-security,com.att.tta.rs,SSLAuthConfiguration,0,27,0,0,0,10,0,2,0,2
resiliency-studio-security,com.att.tta.rs,CorsFilterConfiguration,0,43,0,0,0,11,0,2,0,2
resiliency-studio-security,com.att.tta.rs,CustomAuthenticationProvider,89,7,4,0,21,2,6,2,4,2
resiliency-studio-security,com.att.tta.rs.service,SecurityServiceImpl,11,87,1,9,2,24,1,9,0,5
resiliency-studio-security,com.att.tta.rs.model,User,4,20,0,0,2,8,1,6,1,6
resiliency-studio-security,com.att.tta.rs.model,UserPrivilege,8,9,0,0,4,3,2,3,2,3
resiliency-studio-security,com.att.tta.rs.model,UserAdapter,4,6,0,0,2,2,1,2,1,2
resiliency-studio-security,com.att.tta.rs.controller,SecurityController,0,96,0,4,0,17,0,6,0,4
resiliency-studio-security,com.att.tta.rs.util,MessageWrapper,27,27,0,0,13,8,5,4,5,4
